,time,rate
org.apache.avro.util.TestUtf8_1.testSetByteLength_SameLengthNoExpansion_ClearsStringCache,0.001,0.01932367149758454
org.apache.avro.util.TestUtf8_1.testSetByteLength_SmallerLength_KeepsSameArray,0.001,0.020531400966183576
org.apache.avro.util.TestUtf8_1.testSetByteLength_ZeroLength_Success,0.001,0.016908212560386472
org.apache.avro.util.TestUtf8_1.testSetLength_DelegatesTo_SetByteLength,0.001,0.018115942028985508
org.apache.avro.util.TestUtf8_1.testSet_EmptyString_Success,0.001,0.01570048309178744
org.apache.avro.util.TestUtf8_1.testSet_UnicodeString_Success,0.001,0.018115942028985508
org.apache.avro.util.TestUtf8_1.testSet_ValidString_UpdatesContent,0.001,0.016908212560386472
org.apache.avro.util.TestUtf8_1.testStringConstructor_EmptyString_Success,0.001,0.010869565217391304
org.apache.avro.util.TestUtf8_1.testStringConstructor_UnicodeString_Success,0.001,0.012077294685990338
org.apache.avro.util.TestUtf8_1.testStringConstructor_ValidString_Success,0.001,0.012077294685990338
org.apache.avro.util.TestUtf8_1.testSubSequence_FullRange_ReturnsFullString,0.001,0.012077294685990338
org.apache.avro.util.TestUtf8_1.testSubSequence_InvalidRange_ThrowsException,0.001,0.010869565217391304
org.apache.avro.util.TestUtf8_1.testSubSequence_ValidRange_ReturnsCorrectSubstring,0.001,0.012077294685990338
org.apache.avro.util.TestUtf8_1.testToString_AfterByteModification_RecalculatesString,0.001,0.01570048309178744
org.apache.avro.util.TestUtf8_1.testToString_CachesString_ReturnsSameInstance,0.001,0.010869565217391304
org.apache.avro.util.TestUtf8_1.testToString_EmptyUtf8_ReturnsEmptyString,0.001,0.012077294685990338
org.apache.avro.util.TestUtf8_1.testToString_ValidUtf8_ReturnsCorrectString,0.001,0.010869565217391304
org.apache.avro.util.TestUtf8_1.testUtf8_Immutability_AfterCopyConstructor,0.001,0.021739130434782608
org.apache.avro.util.TestUtf8_1.testUtf8_LargeString_Success,0.001,0.012077294685990338
org.apache.avro.util.TestUtf8_1.testUtf8_MultibyteCharacters_CorrectByteLength,0.001,0.012077294685990338
org.apache.avro.util.TestUtf8_1.testUtf8_SpecialCharacters_Success,0.001,0.010869565217391304
